[Account_Value],[Account_Name],[Account_Description],[Account_Type],[Account_Sign],[Account_Document],[Account_Summary],[Default_Account],[Account_Parent],[Balance Sheet],[Balance Sheet_Name],[US 1120 Balance Sheet],[US 1120 Balance Sheet_Name],[Profit & Loss],[Profit & Loss_Name],[US 1120 Income Statement],[US 1120 Income Statement_Name],[Cash Flow],[Cash Flow_Name]
78500,Vehicle Expense,,Expense,,,,,78,,,,,,,,,,
78600,Amortization Expense,,Expense,,,,,78,,,,,,,,,,
78700,Penalties,,Expense,,,,,78,,,,,,,,,,
78800,Franchise Fee / Royalty Fees,,Expense,,,,,78,,,,,,,,,,
78900,Miscellaneous Expense,,Expense,,,,,78,,,,,,,,,,
79,Default/Suspense Accounts,Temporary accounts - balance should be zero,Expense,,,Yes,,6,,,,,79,Default/Suspense Accounts,,,,
79100,Default account,Default Account (if no other account is defined) V1.1,Expense,,Yes,,DEFAULT_ACCT,79,,,,,,,,,,
79200,Suspense balancing ,Difference to make journal balance in source currency - needs to be solved,Expense,,Yes,,SUSPENSEBALANCING_ACCT,79,,,,,,,,,,
79300,Suspense error,Import did not find account - needs to be solved,Expense,,Yes,,,79,,,,,,,,,,
79400,Cash book expense,Default other expense for petty cash transactions,Expense,,Yes,,CB_EXPENSE_ACCT,79,,,,,,,,,,
79500,Cash book receipts,Default other revenue for petty cash transactions,Revenue,,Yes,,CB_RECEIPT_ACCT,79,,,,,,,,,,
79600,Charge expense,Default other expense,Expense,,Yes,,CH_EXPENSE_ACCT,79,,,,,,,,,,
79700,Charge revenue,Default other revenue,Revenue,,Yes,,,79,,,,,,,,,,
80,Other Income,,Revenue,,,Yes,,,,,,,80,Other Income,,,,
80100,Interest Income,Bank interest revenue,Revenue,,Yes,,B_INTERESTREV_ACCT,80,,,,,,,5,Interest,,
80200,Dividend Income,,Revenue,,,,,80,,,,,,,4,Dividends,,
80300,Rental Income,,Revenue,,,,,80,,,,,,,6,Gross Rents,,
80400,Sales Tax Commission,,Revenue,,,,,80,,,,,,,,,,
805,Currency Gain,,Revenue,,,Yes,,80,,,,,805,Currency Gain,,,,
80510,Bank revaluation gain,Foreign currency bank account gain,Revenue,,Yes,,,805,,,,,,,,,,
80520,Bank settlement gain,Difference between payment and bank account currency,Revenue,,Yes,,,805,,,,,,,,,,
80530,Unrealized gain,Difference between foreign currency receivables/payables and current rate,Revenue,,Yes,,UNREALIZEDGAIN_ACCT,805,,,,,,,,,,
80540,Realized gain,Difference between invoice and payment currency,Revenue,,Yes,,REALIZEDGAIN_ACCT,805,,,,,,,,,,
80700,Capital Gains Income,,Revenue,,,,,80,,,,,,,,,,
80800,Fixed Asset Sale Gain,,Revenue,,,,,80,,,,,,,,,,
80900,Other Income,,Revenue,,,,,80,,,,,,,,,,
82,Other Expense,,Expense,,,Yes,,,,,,,82,Other Expense,,,,
82100,Interest Expense,Bank interest expense,Expense,,Yes,,B_INTERESTEXP_ACCT,82,,,,,,,18,Interest,,
82200,Mortgage Interest Expense,,Expense,,,,,82,,,,,,,,,,
82300,Uninsured Casualty Loss,,Expense,,,,,82,,,,,,,,,,
82400,Charitable Contributions,,Expense,,,,,82,,,,,,,19,Charitable Contributions,,
825,Currency Loss,,Expense,,,Yes,,82,,,,,825,Currency Loss,,,,
82510,Bank revaluation loss,Foreign currency bank account loss,Expense,,Yes,,,825,,,,,,,,,,
82520,Bank settlement loss,Difference between payment and bank account currency,Expense,,Yes,,,825,,,,,,,,,,
82530,Unrealized loss,Difference between foreign currency receivables/payables and current rate,Expense,,Yes,,UNREALIZEDLOSS_ACCT,825,,,,,,,,,,
82540,Realized loss,Difference between invoice and payment currency,Expense,,Yes,,REALIZEDLOSS_ACCT,825,,,,,,,,,,
82550,Currency balancing,Rounding difference to make journal balance in accounting currency,Expense,,Yes,,CURRENCYBALANCING_ACCT,825,,,,,,,,,,
82700,Capital Gains Loss,,Expense,,,,,82,,,,,,,,,,
82800,Fixes Asset Sale Loss,,Expense,,,,,82,,,,,,,,,,
82900,Other Expense,,Expense,,,,,82,,,,,,,,,,
83,Expense (Absorbed),,Expense,,,Yes,,,,,,,83,Expense (Absorbed),,,,
83100,Labor (Absorbed),Labor Absorbed account,Expense,,Yes,,,83,,,,,,,,,,
83200,Burden (Absorbed),Burden Absorbed account,Expense,,Yes,,,83,,,,,,,,,,
83300,Overhead (Applied),Overhead Applied account,Expense,,Yes,,,83,,,,,,,,,,
89,Income Tax & Summary,,Expense,,,Yes,,,,,,,89,Income Tax & Summary,,,,
89100,Federal Income Tax,,Expense,,,,,89,,,,,,,,,,
89200,State Income Tax,,Expense,,,,,89,,,,,,,,,,
89300,Local Income Tax,,Expense,,,,,89,,,,,,,,,,
89900,Income Summary,Year end processing to balance account (Retained Earnings),Expense,,Yes,,,89,,,,,89_,Net Income,,,,
91,Costing,,Memo,,,Yes,,,,,,,,,,,,
911,Profit Center Costing Distribution,,Memo,,,,,91,,,,,,,,,,
912,Project Costing Distribution,,Memo,,,,,91,,,,,,,,,,
913,Overhead (Applied),,Memo,,,,,91,,,,,,,,,,
95,Commitment Accounting,,Memo,,,Yes,,,,,,,,,,,,
951,PO Encumbrance,,Memo,,,,,95,,,,,,,,,,
952,PO Commitment,,Memo,,,,COMMITMENTOFFSET_ACCT,95,,,,,,,,,,
953,SO Commitment,,Memo,,,,COMMITMENTOFFSETSALES_ACCT,95,,,,,,,,,,
955,SO Future Revenue,,Memo,,,,,95,,,,,,,,,,
